City,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed,country,date
urengoy,65.97,78.37,268.93,97,98,3.4,RU,1603147766
haines junction,60.75,-137.51,272.36,100,73,0.48,CA,1603147766
kirovskiy,45.09,133.51,278.71,0,75,1.7,RU,1603147766
xinzhi,36.5,111.7,286.66,100,41,1.23,CN,1603147766
wenatchee,47.42,-120.31,290.15,20,42,6.2,US,1603147686
bairiki,1.33,172.98,302.15,75,79,4.1,KI,1603147766
vila franca do campo,37.72,-25.43,287.15,40,82,3.1,PT,1603147558
salalah,17.02,54.09,301.15,75,58,1.5,OM,1603147766
ponta delgada,37.73,-25.67,287.15,40,82,3.1,PT,1603147766
parkersburg,39.27,-81.56,288.71,90,93,1.17,US,1603147543
